Titles,User Ratings,Genres,Casts
Saw X,74.00,"Horror,Thriller","{'Tobin Bell': 'John Kramer', 'Shawnee Smith': 'Amanda Young', 'Synnøve Macody Lund': 'Cecilia Pederson', 'Steven Brand': 'Parker Sears', 'Renata Vaca': 'Gabriela', 'Joshua Okamoto': 'Diego', 'Octavio Hinojosa Martínez': 'Mateo', 'Paulette Hernández': 'Valentina', 'Jorge Briseño': 'Carlos'}"
Gran Turismo,79.91,"Adventure,Action,Drama","{'Archie Madekwe': 'Jann Mardenborough', 'David Harbour': 'Jack Salter', 'Orlando Bloom': 'Danny Moore', 'Djimon Hounsou': 'Steve Mardenborough', 'Darren Barnet': 'Matty Davis', 'Maeve Courtier-Lilley': 'Audrey', 'Geri Horner': 'Lesley Mardenborough', 'Daniel Puig': 'Coby Mardenborough', 'Josha Stradowski': 'Nicholas Capa'}"
Transformers: Rise of the Beasts,74.56,"Action,Adventure,Science Fiction","{'Anthony Ramos': 'Noah Diaz', 'Dominique Fishback': 'Elena Wallace', 'Peter Cullen': 'Optimus Prime (voice)', 'Ron Perlman': 'Optimus Primal (voice)', 'Peter Dinklage': 'Scourge (voice)', 'Michelle Yeoh': 'Airazor (voice)', 'Pete Davidson': 'Mirage (voice)', 'Liza Koshy': 'Arcee (voice)', 'Cristo Fernández': 'Wheeljack (voice)'}"
Welcome al Norte,84.56,Comedy,"{'Silverio Palacios': 'Polito', 'Ricardo Abarca': 'Isabel Burr', 'Héctor Jiménez': 'Paco Rueda', 'Amorita Rasgado': 'Raquel Garza'}"
Princess Khutulun,71.29,"History,Action,Drama","{'Tserendolgor Munkhbat': 'Khutulun', 'Altantur Altanjargal': 'Hawk'}"
Sound of Freedom,80.86,"Action,Drama","{'Jim Caviezel': 'Tim Ballard', 'Mira Sorvino': 'Katherine Ballard', 'Bill Camp': 'Vampiro', 'Gerardo Taracena': 'El Alacrán', 'Kurt Fuller': 'John Bryant', 'José Zúñiga': 'Roberto', 'Eduardo Verástegui': 'Pablo', 'Scott Haze': 'Chris', 'Yessica Borroto Perryman': 'Giselle / Katy'}"
Barbie,71.90,"Comedy,Adventure,Fantasy","{'Margot Robbie': 'Barbie', 'Ryan Gosling': 'Ken', 'America Ferrera': 'Gloria', 'Kate McKinnon': 'Barbie', 'Ariana Greenblatt': 'Sasha', 'Simu Liu': 'Ken', 'Will Ferrell': 'Mattel CEO', 'Michael Cera': 'Allan', 'Helen Mirren': 'Narrator (voice)'}"
Elemental,77.27,"Animation,Comedy,Family,Fantasy,Romance","{'Leah Lewis': 'Ember Lumen (voice)', 'Mamoudou Athie': 'Wade Ripple (voice)', 'Ronnie del Carmen': 'Bernie Lumen (voice)', 'Shila Ommi': 'Cinder Lumen (voice)', 'Wendi McLendon-Covey': 'Gale (voice)', ""Catherine O'Hara"": 'Brook Ripple (voice)', 'Mason Wertheimer': 'Clod (voice)', 'Ronobir Lahiri': 'Harold (voice)', 'Wilma Bonet': 'Flarrietta (voice)'}"
The Nun II,69.00,"Horror,Mystery,Thriller","{'Taissa Farmiga': 'Sister Irene', 'Jonas Bloquet': 'Maurice Theriault', 'Storm Reid': 'Sister Debra', 'Anna Popplewell': 'Kate', 'Bonnie Aarons': 'The Demon Nun / Valak', 'Katelyn Rose Downey': 'Sophie', 'Suzanne Bertish': 'Madame Laurent', ""Léontine d'Oncieu"": 'Simone', 'Anouk Darwin Homewood': 'Céleste'}"
172 Days,45.00,"Drama,Romance","{'Yasmin Napper': 'Zira', 'Bryan Domani': 'Ameer', 'Abun Sungkar': 'Abun', 'Yoriko Angeline': 'Intan', 'Amara Sophie': 'Niki', 'Meisya Siregar': 'Ummi Yuni', 'Messi Gusti': 'Zira Kecil', 'Oki Setiana Dewi': 'Oki', 'Cindy Fatika Sari': 'Ummi Zira'}"
PAW Patrol: The Mighty Movie,69.00,"Animation,Family,Action,Science Fiction,Comedy","{'Mckenna Grace': 'Skye (voice)', 'Christian Convery': 'Chase (voice)', 'Taraji P. Henson': 'Victoria Vance (voice)', 'Kristen Bell': 'Janet (voice)', 'Lil Rel Howery': 'Sam Stinger (voice)', 'James Marsden': 'Hank (voice)', 'Finn Lee-Epp': 'Ryder (voice)', 'Serena Williams': 'Yoga Yvette (voice)', 'Alan Kim': 'Nano (voice)'}"
Cobweb,67.90,Horror,"{'Lizzy Caplan': 'Carol', 'Antony Starr': 'Mark', 'Cleopatra Coleman': 'Miss Devine', 'Woody Norman': 'Peter', 'Luke Busey': 'Brian', 'Aleksandra Dragova': 'The Girl (Sarah)', 'Jay Rincon': 'Principal', 'Anton Kottas': 'Timothy', 'Steffanie Sampson': ""Brian's Mom""}"
Wish,68.45,"Animation,Family,Fantasy,Adventure","{'Ariana DeBose': 'Asha (voice)', 'Chris Pine': 'Magnifico (voice)', 'Alan Tudyk': 'Valentino (voice)', 'Angelique Cabral': 'Amaya (voice)', 'Victor Garber': 'Sabino (voice)', 'Natasha Rothwell': 'Sakina (voice)', 'Jennifer Kumiyama': 'Dahlia (voice)', 'Harvey Guillén': 'Gabo (voice)', 'Niko Vargas': 'Hal (voice)'}"
Retribution,69.86,"Action,Thriller,Crime","{'Liam Neeson': 'Matt Turner', 'Noma Dumezweni': 'Angela Brickmann', 'Lilly Aspell': 'Emily Turner', 'Jack Champion': 'Zach Turner', 'Arian Moayed': 'Sylvain', 'Embeth Davidtz': 'Heather Turner', 'Matthew Modine': 'Anders Muller', 'Emily Kusche': 'Mila', 'Luca Márkus': 'Kat'}"
Spider-Man: Across the Spider-Verse,84.02,"Animation,Action,Adventure,Science Fiction","{'Shameik Moore': 'Miles Morales / Spider-Man (voice)', 'Hailee Steinfeld': 'Gwen Stacy / Spider-Woman (voice)', 'Jason Schwartzman': 'Jonathan Ohnn / Spot (voice)', 'Oscar Isaac': ""Miguel O'Hara / Spider-Man 2099 (voice)"", 'Brian Tyree Henry': 'Jeff Morales (voice)', 'Luna Lauren Velez': 'Rio Morales (voice)', 'Jake Johnson': 'Peter B. Parker / Spider-Man (voice)', 'Issa Rae': 'Jessica Drew / Spider-Woman (voice)', 'Karan Soni': 'Pavitr Prabhakar / Spider-Man India (voice)'}"
Mega Lightning,45.00,"Action,Horror,Science Fiction","{'May Kelly': 'Meg', 'Kelly Rian Sanson': 'Corin', 'Gillian Broderick': 'Di', 'Chris Cordell': 'Bernie', 'Richard Kovacs': 'Johan', 'Maria Taylor': 'Corin', 'Karl Hughes': 'Donal', 'Lauren Staerck': 'Sally', 'Marcus Massey': 'Greg'}"
Avatar: The Way of Water,76.49,"Science Fiction,Adventure,Action","{'Sam Worthington': 'Jake Sully', 'Zoe Saldaña': 'Neytiri', 'Sigourney Weaver': 'Kiri / Dr. Grace Augustine', 'Stephen Lang': 'Colonel Miles Quaritch', 'Kate Winslet': 'Ronal', 'Cliff Curtis': 'Tonowari', 'Joel David Moore': 'Norm Spellman', 'CCH Pounder': ""Mo'at"", 'Edie Falco': 'General Frances Ardmore'}"
Spider-Man: No Way Home,79.86,"Action,Adventure,Science Fiction","{'Tom Holland': 'Peter Parker / Spider-Man', 'Zendaya': ""Michelle 'MJ' Jones"", 'Benedict Cumberbatch': 'Stephen Strange / Doctor Strange', 'Jacob Batalon': 'Ned Leeds', 'Jon Favreau': ""Harold 'Happy' Hogan"", 'Jamie Foxx': 'Max Dillon / Electro', 'Willem Dafoe': 'Norman Osborn / Green Goblin', 'Alfred Molina': 'Dr. Otto Octavius / Doctor Octopus', 'Benedict Wong': 'Wong'}"
The Exorcist: Believer,61.89,Horror,"{'Leslie Odom Jr.': 'Victor Fielding', 'Lidya Jewett': 'Angela Fielding', 'Olivia Marcum': 'Katherine West', 'Ann Dowd': 'Nurse Ann Brooks', 'Jennifer Nettles': 'Miranda West', 'Norbert Leo Butz': 'Tony West', 'Okwui Okpokwasili': 'Dr. Beehibe', 'Raphael Sbarge': 'Pastor Don Revans', 'E.J. Bonilla': 'Father Maddox'}"
John Wick: Chapter 4,77.90,"Action,Thriller,Crime","{'Keanu Reeves': 'John Wick', 'Donnie Yen': 'Caine', 'Bill Skarsgård': 'Marquis', 'Ian McShane': 'Winston', 'Laurence Fishburne': 'Bowery King', 'Lance Reddick': 'Charon', 'Clancy Brown': 'Harbinger', 'Hiroyuki Sanada': 'Shimazu', 'Rina Sawayama': 'Akira'}"
