Titles,User Ratings,Genres,Casts
Last Night of Amore,72.30,"Thriller,Crime","{'Pierfrancesco Favino': 'Franco Amore', 'Linda Caridi': 'Viviana', 'Antonio Gerardi': 'Cosimo Forcella', 'Francesco Di Leva': 'Dino Ruggeri', 'Wang Fifi': 'Fei Fei', 'Katia Mironova': 'Rodica', 'Carlo Gallo': 'Tito Russo', 'Camilla Semino Favro': 'Carabiniere Daria Criscito', 'Martin Francisco Montero Baez': 'Ernesto'}"
Gunfight at Rio Bravo,43.00,"Western,Action","{'Alexander Nevsky': 'Ivan Turchin', 'Olivier Gruner': 'Marshall Austin Carter', 'Joe Cornet': 'Sheriff Vernon Kelly', 'Matthias Hues': 'Ethan Crawley', 'Natalie Denise Sperl': 'Nora Miller', 'Kerry Goodwin': 'Jenny Gray', 'Lee Dawson': 'Mayor Bowman', 'John Marrs': 'Grady', 'Michael Paré': 'View More'}"
All-Time High,58.00,"Comedy,Romance","{'Nassim Lyes': 'Youssef Bouahzizi', 'Zoé Marchal': 'Stéphanie', 'Ciryl Gane': 'Yassine Stein', 'Zak': 'Adrien Essamir', '""Sicario"" aka papillon': 'Eric Cullet', 'Camion': 'Yousef Ramal', 'Parpaing': 'Yovel Lewkowski', 'Yaël': 'Guillaume Canet'}"
Renegades,41.18,"Action,Crime,Thriller","{'Nick Moran': 'Burton', 'Lee Majors': 'Carver', 'Ian Ogilvy': 'Peck', 'Patsy Kensit': 'Judy Carver', 'Louis Mandylor': 'Goram', 'Michael Paré': 'Donovan', 'Danny Trejo': 'Sanchez', 'Billy Murray': 'Woody', 'Paul Barber': 'Harris'}"
The Hunger Games: Mockingjay - Part 1,68.03,"Science Fiction,Adventure,Thriller","{'Jennifer Lawrence': 'Katniss Everdeen', 'Josh Hutcherson': 'Peeta Mellark', 'Liam Hemsworth': 'Gale Hawthorne', 'Woody Harrelson': 'Haymitch Abernathy', 'Elizabeth Banks': 'Effie Trinket', 'Julianne Moore': 'President Alma Coin', 'Philip Seymour Hoffman': 'Plutarch Heavensbee', 'Jeffrey Wright': 'Beetee', 'Stanley Tucci': 'Caesar Flickerman'}"
The Flash,68.38,"Action,Adventure,Science Fiction","{'Ezra Miller': 'Barry Allen / The Flash', 'Sasha Calle': 'Kara Zor-El / Supergirl', 'Michael Keaton': 'Bruce Wayne / Batman', 'Michael Shannon': 'General Zod', 'Ron Livingston': 'Henry Allen', 'Maribel Verdú': 'Nora Allen', 'Kiersey Clemons': 'Iris West', 'Antje Traue': 'Faora-Ul', 'Saoirse-Monica Jackson': 'Patty Spivot'}"
Babylon A.D.,56.00,"Action,Adventure,Science Fiction,Thriller","{'Vin Diesel': 'Toorop', 'Michelle Yeoh': 'Sister Rebeka', 'Mélanie Thierry': 'Aurora', 'Lambert Wilson': 'Dr. Arthur Darquandier', 'Charlotte Rampling': 'CEO of Noelite Church', 'Gérard Depardieu': 'Gorsky', 'Mark Strong': 'Finn', 'Jérôme Le Banner': 'Killa', 'David Belle': 'Hacker Kid'}"
Uri: The Surgical Strike,71.73,"Action,Drama,War","{'Vicky Kaushal': 'Major Vihan Singh Shergill', 'Paresh Rawal': 'Ajit Doval', 'Yami Gautam': 'Pallavi Sharma / Jasmine', 'Kirti Kulhari': 'Seerat', 'Mohit Raina': 'Major Karan Kashyap', 'Dhairya Karwa': 'Captain Sartaj Singh Chandok', 'Rajit Kapoor': 'Prime Minister Of India', 'Ivan Rodrigues': ""Brian D'souza"", 'Manasi Parekh': 'Neha Kashyap'}"
Muzzle,66.57,"Action,Crime,Drama,Thriller","{'Aaron Eckhart': 'Jake Rosser', 'Stephen Lang': 'Leland', 'Diego Tinoco': 'Hernandez', 'Leslie Black': 'Councilwoman Pricilla Cross', 'Penelope Mitchell': 'Mia', 'Nick Searcy': 'Captain Freeman', 'Grainger Hines': 'Aldo Damon', 'Luis Chávez': 'Aojo', 'Delissa Reynolds': 'Det. Ramos'}"
Guardians of the Galaxy Vol. 3,80.07,"Science Fiction,Adventure,Action","{'Chris Pratt': 'Peter Quill / Star-Lord', 'Zoe Saldaña': 'Gamora', 'Dave Bautista': 'Drax the Destroyer', 'Karen Gillan': 'Nebula', 'Pom Klementieff': 'Mantis', 'Vin Diesel': 'Groot (voice)', 'Bradley Cooper': 'Rocket (voice)', 'Sean Gunn': 'Kraglin / Young Rocket (voice)', 'Chukwudi Iwuji': 'The High Evolutionary'}"
Avengers: Infinity War,82.52,"Adventure,Action,Science Fiction","{'Robert Downey Jr.': 'Tony Stark / Iron Man', 'Chris Hemsworth': 'Thor Odinson', 'Mark Ruffalo': 'Bruce Banner / Hulk', 'Chris Evans': 'Steve Rogers / Captain America', 'Scarlett Johansson': 'Natasha Romanoff / Black Widow', 'Benedict Cumberbatch': 'Stephen Strange / Doctor Strange', 'Tom Holland': 'Peter Parker / Spider-Man', 'Chadwick Boseman': ""T'Challa / Black Panther"", 'Don Cheadle': ""James 'Rhodey' Rhodes / War Machine""}"
The Night Crew,51.00,"Thriller,Action,Mystery","{'Jason Mewes': 'Chachi', 'Danny Trejo': 'Aguilar', 'Chasty Ballesteros': 'Mae', 'Luke Goss': 'Wade', 'Bokeem Woodbine': 'Crenshaw', 'Christine Nguyen': 'Sabrina', 'Jacqueline Lord': 'Myra', ""Roberto 'Sanz' Sanchez"": 'Gus', 'Luciana Faulhaber': 'Rose'}"
The Elevator,70.00,Horror,"{'Chrissie Wunna': 'Lily', 'Alix Maxwell': 'Sylvester Arnold', 'George Nettleton': 'Norton', 'Danielle Scott': 'Melissa', 'Osian Dixon': 'Seth', 'Louise Wildman': 'Margaret Spooner', 'Harrison Thomas Boxley': 'Gabe', 'Stephen Staley': 'Zak', 'Bao Tieu': 'The Demon'}"
Puss in Boots: The Last Wish,82.61,"Adventure,Fantasy,Animation,Comedy,Family,Action","{'Antonio Banderas': 'Puss in Boots (voice)', 'Salma Hayek Pinault': 'Kitty Softpaws (voice)', 'Harvey Guillén': 'Perrito (voice)', 'Wagner Moura': 'Wolf (voice)', 'Florence Pugh': 'Goldilocks (voice)', 'Olivia Colman': 'Mama Bear (voice)', 'Ray Winstone': 'Papa Bear (voice)', 'Samson Kayo': 'Baby Bear (voice)', 'John Mulaney': 'Jack Horner (voice)'}"
Nowhere,75.33,"Thriller,Drama","{'Anna Castillo': 'Mia', 'Tamar Novas': 'Nico', 'Irina Bravo': 'Angela', 'Victoria Teijeiro': 'Vicky', 'Lucia Soria': 'Addlescente', 'Mary Ruiz': 'Sandra', 'Tony Corvillo': 'Gil', 'Mariam Torres': 'Lucia', 'Edu Bulnes': 'Andres'}"
Talk to Me,72.02,"Horror,Thriller","{'Sophie Wilde': 'Mia', 'Alexandra Jensen': 'Jade', 'Joe Bird': 'Riley', 'Otis Dhanji': 'Daniel', 'Miranda Otto': 'Sue', 'Zoe Terakes': 'Hayley', 'Chris Alosio': 'Joss', 'Marcus Johnson': 'Max', 'Alexandria Steffensen': 'Rhea'}"
1962 Halloween Massacre,30.00,Horror,"{'Ariel Ash': 'Annette', 'Caroline Beagles': 'Lori', 'Will Branner': 'Russ', 'William Jousset': 'Vet', 'Joan Milburn': 'Maddie', 'Kyle Myhre': 'Glenn', 'Benjamin Nowak': 'Rook', 'Jeremiah Wenutu': 'Dean'}"
Mavka: The Forest Song,72.83,"Animation,Adventure,Family,Fantasy","{'Nataliia Denysenko': 'Mavka (voice)', 'Artem Pyvovarov': 'Lucas (voice)', 'Nazar Zadniprovskyi': 'Lesh (voice)', 'Oleh Skrypka': 'The One, Who Sits in the Rock (voice)', 'Olena Kravets': 'Kylina (voice)', 'Serhii Prytula': 'Frol (voice)', 'Oleh Mykhailiuta': 'Uncle Leo (voice)', 'Nataliia Sumska': 'The Healer (voice)', 'Julia Sanina': 'Ondina (voice)'}"
My Fault,81.00,"Drama,Romance","{'Nicole Wallace': 'Noah Morgan', 'Gabriel Guevara': 'Nick Leister', 'Marta Hazas': 'Rafaela', 'Iván Sánchez': 'William Leister', 'Eva Ruiz': 'Jenna', 'Víctor Varona': 'Lion', 'Fran Berenguer': 'Ronnie', 'Adriana Ubani': 'Anna', 'Iván Massagué': 'Jonas'}"
Rally Road Racers,74.21,"Animation,Family,Comedy","{'Jimmy O. Yang': 'Zhi (voice)', 'Lisa Lu': 'Granny Bai (voice)', 'Chloe Bennet': 'Shelby (voice)', 'J.K. Simmons': 'Gnash (voice)', 'Catherine Tate': 'Juni Hakansdotter (voice)', 'Sharon Horgan': 'Abby Jacks (voice)', 'John Cleese': 'Archie Vainglorious (voice)', 'Kerry Shale': 'Beppe (voice)', 'Naomi McDonald': ""Beppe's Wife (voice)""}"
