Titles,User Ratings,Genres,Casts
The Lake,58.67,"Horror,Science Fiction,Thriller","{'Theerapat Sajakul': 'James', 'Sushar Manaying': 'Lin', 'Supansa Wedkama': 'Pam', 'Thanachat Tullayachat': 'Keng', 'Wanmai Chatborirak': 'May', 'Vithaya Pansringarm': 'Suwat', 'Palita Chueasawathee': 'Fon', 'Amnaj Wajaon': 'Wit', 'Unruean Rachot': ""Fisherman's Wife""}"
The Little Mermaid,64.84,"Adventure,Family,Fantasy,Romance","{'Halle Bailey': 'Ariel', 'Jonah Hauer-King': 'Prince Eric', 'Daveed Diggs': 'Sebastian (voice)', 'Awkwafina': 'Scuttle (voice)', 'Jacob Tremblay': 'Flounder (voice)', 'Noma Dumezweni': 'Queen Selina', 'Javier Bardem': 'King Triton', 'Melissa McCarthy': 'Ursula', 'Art Malik': 'Sir Grimsby'}"
Mad Max: Fury Road,75.85,"Action,Adventure,Science Fiction","{'Tom Hardy': 'Max Rockatansky', 'Charlize Theron': 'Imperator Furiosa', 'Nicholas Hoult': 'Nux', 'Hugh Keays-Byrne': 'Immortan Joe', 'Riley Keough': 'Capable', 'Zoë Kravitz': 'Toast the Knowing', 'Rosie Huntington-Whiteley': 'The Splendid Angharad', 'Abbey Lee': 'The Dag', 'Courtney Eaton': 'Cheedo the Fragile'}"
Pet Sematary: Bloodlines,60.74,Horror,"{'Jackson White': 'Jud', 'Forrest Goodluck': 'Manny', 'Jack Mulhern': 'Timmy Baterman', 'Henry Thomas': 'Dan Crandall', 'Natalie Alyn Lind': 'Norma', 'Isabella Star LaBlanc': 'Donna', 'Pam Grier': 'Majorie Washburn', 'David Duchovny': 'Bill Baterman', 'Samantha Mathis': 'Kathy Crandall'}"
Megalomaniac,62.00,"Horror,Mystery,Thriller","{'Eline Schumacher': 'Benjamin Ramon', 'Wim Willaert': 'Pierre Nisse', 'Raphaëlle Lubansu': 'Quentin Lasbazeilles', 'Olivier Picard': 'Catherine Jandrain'}"
Around the World in 80 Days,55.00,"Animation,Family","{'Damien Frette': 'Philéas (voice)', 'Julien Crampon': 'Passepartout (voice)', 'Kaycie Chase': 'Aouda (voice)', 'Céline Ronté': 'Fix (voice)', 'Véronique Augereau': 'Mom (voice)'}"
One Piece: Episode of Skypiea,71.83,"Animation,Action,Adventure,Comedy","{'Mayumi Tanaka': 'Monkey D. Luffy (voice)', 'Kazuya Nakai': 'Roronoa Zoro (voice)', 'Akemi Okamura': 'Nami (voice)', 'Kappei Yamaguchi': 'Usopp (voice)', 'Hiroaki Hirata': 'Vinsmoke Sanji (voice)', 'Ikue Otani': 'Tony Tony Chopper (voice)', 'Yuriko Yamaguchi': 'Nico Robin (voice)', 'Rieko Takahashi': 'Conis (voice)', 'Masami Suzuki': 'Aisa (voice)'}"
The Velveteen Rabbit,76.00,"Animation,Family,Fantasy","{'Phoenix Laroche': 'William', 'Ellie Mejia': 'Miss Forrester', 'Samantha Colley': 'Mother', 'Leonard Buckley': 'Father', 'Conor Hamill': ""William's Friend"", 'Paul Sparkes': 'Removal Man', 'Tilly Vosburgh': 'Mary (Momo) (voice)', 'Kiefer Moriarty': 'Adult at Party', ""Elizabeth O'Toole"": 'Lucy'}"
The Killer,66.40,"Crime,Thriller","{'Michael Fassbender': 'The Killer', 'Tilda Swinton': 'The Expert', 'Charles Parnell': 'The Lawyer - Hodges', 'Arliss Howard': 'The Client - Claybourne', ""Kerry O'Malley"": 'Dolores', 'Sophie Charlotte': 'Magdala', 'Emiliano Pernia': 'Marcus', 'Gabriel Polanco': 'Leo', 'Sala Baker': 'The Brute'}"
Space Wars: Quest for the Deepstar,34.57,"Science Fiction,Adventure,Action","{'Michael Paré': 'Kip', 'Olivier Gruner': 'Dykstra', 'Sarah French': 'Taylor', 'Tyler Gallant': 'Wade', 'Rachele Brooke Smith': 'Nina', 'Anahit Setian': 'Jackie', 'Jed Rowen': 'Manx', 'Elise Muller': 'Lacey', 'Sadie Katz': 'Elnora'}"
