Titles,User Ratings,Genres,Casts
After Everything,70.32,"Romance,Drama","{'Hero Fiennes Tiffin': 'Hardin Scott', 'Josephine Langford': 'Tessa Young', 'Mimi Keene': 'Nathalie', 'Stephen Moyer': 'Christian Vance', 'Louise Lombard': 'Trish Daniels', 'Arielle Kebbel': 'Kimberly Vance', 'Carter Jenkins': 'Robert Freeman', 'Kiana Madeira': 'Nora', 'Rob Estes': 'Ken Scott'}"
The Mongolian Connection,65.00,Action,"{'Amarsaikhan Baljinnyam': 'Ganzorig', 'Kaiwi Lyman': 'Wade Dalton', 'Sannjar Madi': 'Serik', 'Zhandos Aibassov': 'Tenzin', 'Tsetsegee Byamba': 'Khulan', 'Kate Amundsen': 'Hannah'}"
Indiana Jones and the Dial of Destiny,66.76,"Adventure,Action","{'Harrison Ford': 'Indiana Jones', 'Phoebe Waller-Bridge': 'Helena', 'Mads Mikkelsen': 'Dr. Voller', 'Boyd Holbrook': 'Klaber', 'Olivier Richters': 'Hauke', 'Ethann Isidore': 'Teddy', 'Toby Jones': 'Basil Shaw', 'Antonio Banderas': 'Renaldo', 'Karen Allen': 'Marion'}"
The Jester,45.00,"Horror,Thriller,Mystery","{'Matt Servitto': 'John', 'Lelia Symington': 'Emma', 'Delaney White': 'Jocelyn', 'Ken Arnold': 'Pastor Lewis', 'Mary Jane Pentony': 'Young Jocelyn', 'Michael Sheffield': 'The Jester', 'Sam Lukowski': 'Liquor Store Clerk', 'Lena Janes': 'Madison', 'Gabriel Morgan': 'Bryce'}"
Boudica,60.57,"Action,War","{'Olga Kurylenko': 'Boudica', 'Peter Franzén': 'Wolfgar', 'Clive Standen': 'Prasutagus', 'Lucy Martin': 'Cartimanda', 'Nick Moran': 'Catus Decianus', 'James Faulkner': 'Old Druid', 'Rita Tushingham': 'Green Druid', 'Harry Kirton': 'Emperor Nero', 'Andy Beckwith': 'Store-Handler'}"
The Locksmith,58.66,"Mystery,Thriller,Action,Crime,Drama","{'Ryan Phillippe': 'Miller', 'Kate Bosworth': 'Beth', 'Ving Rhames': 'Frank', 'Jeffrey Nordling': 'Ian Zwick', 'Gabriela Quezada Bloomgarden': 'April Reyes', 'Madeleine Guilbot': 'Lindsay Graham', 'Charlie Weber': 'Garrett Field', 'Kaylee Bryant': 'Tanya Saunders', 'Noel Gugliemi': 'Detective Perez'}"
Dashing Through the Snow,71.00,"Fantasy,Family,Comedy","{'Lil Rel Howery': 'Nick', 'Ludacris': 'Eddie Garrick', 'Madison Skye Validum': 'Charlotte Garrick', 'Teyonah Parris': 'Allison Garrick', 'Oscar Nunez': 'Conrad Harf', 'Ravi Patel': 'Peter', 'Gina Brillon': 'Sonya Truckle', 'Marcus Lewis': 'Paul', 'Mary Lynn Rajskub': 'Mary'}"
The Monkey King: Reborn,71.00,"Animation,Action,Fantasy,Family","{'Jiang Bian': 'Sun Wukong', 'Haiting Cai': 'Su Shangqing', 'Zhang Lei': 'He Zhang', 'Qiang Lin': 'Sicen Liu', 'Wang Chenguang': 'Zhongyang Baomu'}"
Teenage Mutant Ninja Turtles: Mutant Mayhem,73.04,"Animation,Comedy,Action,Science Fiction","{'Micah Abbey': 'Donatello (voice)', 'Shamon Brown Jr.': 'Michelangelo (voice)', 'Nicolas Cantu': 'Leonardo (voice)', 'Brady Noon': 'Raphael (voice)', 'Ayo Edebiri': ""April O'Neil (voice)"", 'Maya Rudolph': 'Cynthia Utrom (voice)', 'John Cena': 'Rocksteady (voice)', 'Seth Rogen': 'Bebop (voice)', 'Rose Byrne': 'Leatherhead (voice)'}"
Radical,76.00,Drama,"{'Eugenio Derbez': 'Sergio', 'Daniel Haddad': 'Chucho', 'Jennifer Trejo': 'Paloma', 'Mia Fernanda Solis': 'Lupe', 'Danilo Guardiola Escobar': 'Nico', 'Gilberto Barraza': 'Papa Paloma', 'Víctor Estrada': 'Chepe', 'Manuel Márquez': 'Enrique', 'Christian Gonzalez': 'Jaime'}"
